pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,Happy
291.6949809,334.3298304,309.34904,0.009416514,1.3943125,2073.064828,4545.423121,1
220.4239856,344.2284827,304.3178567,0.001433457,1.14825,2457.645181,4473.816598,1
224.0564249,311.6720008,249.320454,0.003583698,1.14825,956.5821251,2281.258587,1
115.5523069,315.3987837,227.0445687,0.020700712,1.3123125,670.1471042,1991.165639,1
132.8736269,462.0841193,273.9694899,0.008778719,1.640375,1203.041282,3179.417879,1
149.243789,281.6776092,215.8257947,0.010672758,1.3943125,977.9147985,3451.78116,1
223.280358,323.9321947,285.6537819,0.003495286,1.3123125,834.7202274,3322.025246,1
117.3992257,249.8323566,188.6332468,0.014705808,1.3943125,2286.652583,4094.367378,1
128.5765576,352.5487269,237.5164031,0.011659227,1.4763125,2547.331247,4501.800448,1
231.3265065,359.5139689,316.5290117,0.000503597,1.06625,839.2140684,2624.965361,1
150.9655392,225.704833,187.205524,0.006398078,1.23025,2802.603305,4385.575498,1
131.774946,506.3807188,261.0823351,0.013696232,1.3123125,2498.279954,4611.951212,1
126.9701919,589.0778534,260.3513471,0.004172579,1.5583125,1170.028511,3123.480406,1
137.5408202,213.0813998,169.1577636,0.004091427,1.23025,1136.502742,2668.851689,1
200.9992594,282.6657164,250.2799188,0.013948057,1.2029375,1282.28165,4287.125863,1
126.4754679,250.8963571,201.9384838,0.005247245,1.8454375,1212.46073,1993.987392,1
116.4272826,229.6326234,183.1396717,0.012075851,1.640375,1041.358021,2611.005149,1
241.3176128,319.4777882,303.4616,0.007224319,1.385875,694.1708328,2705.223442,1
255.7388887,444.7500131,310.667606,0.010143669,1.297125,1093.92472,1914.675115,1
289.0535757,470.6185947,356.781357,0.011768042,1.5081875,506.1888197,2268.161899,1
243.7311995,528.642425,304.0324553,0.00368941,1.406,860.5002176,2276.528481,1
178.5670867,567.0310764,298.1116746,0.002393229,1.2175625,1022.06876,2598.249127,1
183.0783322,560.4550798,258.7808891,0.002409599,0.9635,1131.432794,2689.072528,1
229.5272248,560.6538312,331.6267673,0.003481203,1.3886875,2205.318468,4548.328569,1
